[TRP]
						Atom	Raw	        Charges	Edit
CHARGE,	TRPBK,	 N  :	-0.35			N	-0.427579	-0.428	-0.426
CHARGE,	TRPBK,	 H  :	0.25			H	0.241716	0.242	 0.243
CHARGE,	TRPBK,	 CA :	0.1			CA	-0.020082	-0.020	-0.018
CHARGE,	TRPBK,	 HA :	0			HA	0.106629	0.107	 0.108
CHARGE,	TRPBK,	 C  :	0.55			C	0.584129	0.584	 0.586
CHARGE,	TRPBK,	 O  :	-0.55			O	-0.49473	-0.495	-0.493
CHARGE,	TRP01,	 CB :	0			CB	-0.098364	-0.098	-0.099
CHARGE,	TRP01,	 HB2:	0			HB1	0.065424	0.065	 0.065
CHARGE,	TRP01,	 HB3:	0			HB2	0.065424	0.065	 0.065
CHARGE,	TRP01,	 CG :	0			CG	-0.099797	-0.100	-0.100
CHARGE,	TRP01,	 CD1:	0			CD1	-0.174053	-0.174	-0.175
CHARGE,	TRP01,	 HD1:	0			HD1	0.170633	0.171	 0.170
CHARGE,	TRP01,	 CD2:	0			CD2	0.089641	0.090	 0.089
CHARGE,	TRP01,	 NE1:	0			NE1	-0.298433	-0.298	-0.299
CHARGE,	TRP01,	 HE1:	0			HE1	0.322375	0.322	 0.322
CHARGE,	TRP01,	 CE2:	0			CE2	0.141523	0.142	 0.141
CHARGE,	TRP01,	 CE3:	0			CE3	-0.153992	-0.154	-0.155
CHARGE,	TRP01,	 HE3:	0			HE3	0.123084	0.123	 0.123
CHARGE,	TRP01,	 CZ2:	0			CZ2	-0.210701	-0.211	-0.211
CHARGE,	TRP01,	 HZ2:	0			HZ2	0.125512	0.126	 0.125
CHARGE,	TRP01,	 CZ3:	0			CZ3	-0.164054	-0.164	-0.165
CHARGE,	TRP01,	 HZ3:	0			HZ3	0.11925 	0.119	 0.119
CHARGE,	TRP01,	 CH2:	0			CH2	-0.133022	-0.133	-0.134
CHARGE,	TRP01,	 HH2:	0			HH2	0.119467	0.119	 0.119

[ALA]
						Atom	Raw	        Charges	Edit
CHARGE,	ALABK,	 N  :	-0.35		0	N	-0.404773	-0.405	-0.404
CHARGE,	ALABK,	 H  :	0.25		4	H	0.294276	0.294	 0.295
CHARGE,	ALABK,	 CA :	0.1		1	CA	-0.027733	-0.028	-0.027
CHARGE,	ALABK,	 HA :	0		5	HA	0.120802	0.121	 0.121
CHARGE,	ALABK,	 C  :	0.55		2	C	0.570224	0.570	 0.571
CHARGE,	ALABK,	 O  :	-0.55		3	O	-0.555129	-0.555	-0.555
CHARGE,	ALA01,	 CB :	0		6	CB	-0.229951	-0.230	-0.231
CHARGE,	ALA01,	 HB1:	0		7	HB1	0.077428	0.077	 0.077
CHARGE,	ALA01,	 HB2:	0		8	HB2	0.077428	0.077	 0.077
CHARGE,	ALA01,	 HB3:	0		9	HB3	0.077428	0.077	 0.077								

[GLY]
						Atom	Raw	        Charges	Edit
CHARGE,	GLYBK,	 N  :	-0.35		0	N	-0.374282	-0.374	-0.374
CHARGE,	GLYBK,	 H  :	0.25		4	H	0.253981	0.254	 0.254
CHARGE,	GLYBK,	 CA :	0.1		1	CA	-0.128844	-0.129	-0.129
CHARGE,	GLYBK,	 HA2:	0		5	HA1	0.088859	0.089	 0.089
CHARGE,	GLYBK,	 HA3:	0		6	HA2	0.088859	0.089	 0.089
